index,Data,Consumo,Média Móvel,Desvio Padrão,Banda Inf 3,Banda Inf 2,Banda Inf 1,Banda Sup 1,Banda Sup 2,Banda Sup 3,Classificação
1,2025-06-07,182.83648700000003,126.15710850000004,80.15674578157801,-234.548247517101,-114.31312884473398,5.921989827633027,246.39222717236703,366.62734584473407,486.8624645171011,0.0
2,2025-06-08,183.80429700000002,145.37283800000003,65.7288728626756,-150.4070898820402,-51.81378058802679,46.77952870598662,243.96614729401344,342.5594565880268,441.1527658820403,0.0
3,2025-06-09,181.08456100000006,154.30076875000003,56.55989399246636,-100.21875421609857,-15.378913227399039,69.4609277613005,239.14060973869957,323.9804507273991,408.8202917160986,0.0
4,2025-06-10,139.10809700000004,151.26223440000004,49.451285739704716,-71.26855142867117,2.9083771808858785,77.08530579044296,225.43916300955712,299.6160916191142,373.79302022867125,0.0
5,2025-06-11,244.309001,166.77002883333338,58.30346351776267,-95.59555699659862,-8.140361719954626,79.31483355668938,254.22522410997738,341.6804193866214,429.1356146632654,0.0
6,2025-06-12,216.53744400000005,173.87965957142862,56.44973716883351,-80.14415768832217,4.530448064928095,89.20505381817836,258.5542653246789,343.22887107792917,427.90347683117943,0.0
7,2025-06-13,210.67734199999992,178.47936987500003,53.857281921338895,-63.87839877102499,16.90752411098333,97.69344699299168,259.2652927570084,340.05121563901673,420.83713852102505,0.0
8,2025-06-14,221.10193,183.2152098888889,52.34390690132535,-52.332371167075166,26.183489184912844,104.69934953690087,261.73107024087693,340.24693059286494,418.76279094485295,0.0
9,2025-06-15,197.836095,184.6772984,49.566420051892656,-38.37159183351693,35.97803824432205,110.32766832216103,259.02692847783896,333.376558555678,407.7261886335169,0.0
10,2025-06-16,169.68548,183.31440581818185,47.239593935277696,-29.26376689056778,41.595624012348765,112.45501491526531,254.1737967210984,325.03318762401494,395.8925785269315,0.0
11,2025-06-17,182.691725,183.26251575,45.041544229290515,-19.424433281807325,48.13788306212845,115.70019940606423,250.82483209393578,318.3871484378716,385.94946478180736,0.0
12,2025-06-18,188.63583000000003,183.6758476153846,43.14973862046895,-10.497976176725672,54.226631753977756,118.95123968468118,248.40045554608804,313.12506347679147,377.8496714074949,0.0
13,2025-06-19,186.20668700000002,183.85662185714287,41.462445430123346,-2.7243825784121896,59.46928556677284,121.66295371195785,246.05029000232787,308.2439581475129,370.4376262926979,0.0
14,2025-06-20,188.91035300000001,184.19353726666668,39.975514355811875,4.303722665513249,64.26699419923105,124.23026573294887,244.1568088003845,304.12008033410234,364.0833518678201,0.0
15,2025-06-21,214.82059700000013,186.10772850000004,39.37171168138274,8.935025933777695,67.99259345585182,127.05016097792593,245.16529602207413,304.22286354414825,363.2804310662224,0.0
16,2025-06-22,220.99768200000005,188.16007870588237,39.049389930263445,12.437824019696876,71.01190891509204,129.5859938104872,246.73416360127754,305.3082484966727,363.88233339206784,0.0
17,2025-06-23,203.80924400000004,189.0294767777778,38.062617667610105,17.74769727353234,74.8416237749475,131.93555027636265,246.12340327919296,303.2173297806081,360.31125628202324,0.0
18,2025-06-24,141.716596,186.53932515789475,38.54986750507812,13.06492138504322,70.88972264266039,128.71452390027758,244.36412641551192,302.1889276731291,360.0137289307463,0.0
19,2025-06-25,142.12396600000002,184.31855720000004,38.813826244164694,9.656339101258908,67.87707846750595,126.097817833753,242.5392965662471,300.76003593249413,358.98077529874115,0.0
20,2025-06-26,177.54233700000003,183.99588004761907,37.85992582883172,13.626213817876334,70.4161025611239,127.20599130437148,240.78576879086665,297.5756575341142,354.3655462773618,0.0
21,2025-06-27,199.91934099999997,184.71967372727275,37.10314515201363,17.755520543211418,73.41023827123186,129.0649559992523,240.3743914552932,296.0291091833136,351.6838269113341,0.0
22,2025-06-28,116.03724299999996,181.73348108695652,38.97650125690482,6.339225430884824,64.80397731624205,123.26872920159929,240.19823297231375,298.66298485767095,357.1277367430282,-1.0
23,2025-06-29,133.58568400000001,179.72732287500003,39.36634325590624,2.578778223421949,61.62829310728131,120.67780799114067,238.7768377588594,297.82635264271875,356.8758675265781,0.0
24,2025-06-30,133.971997,177.89710984,39.60908693245809,-0.3437813560613847,59.06984904262575,118.48347944131288,237.31074023868715,296.72437063737425,356.1380010360614,0.0
25,2025-07-01,130.741156,176.0834193076923,39.89549954493173,-3.4463286445004826,56.396920672897124,116.24016999029472,235.92666862508992,295.7699179424875,355.61316725988513,0.0
26,2025-07-02,124.16710899999998,174.160593,40.376473217798626,-7.533536480093801,53.031173346604135,113.59588317330207,234.72530282669794,295.2900126533959,355.8547224800938,0.0
27,2025-07-03,140.159647,172.94627350000002,40.1393524668408,-7.680812600783582,52.52821609947762,112.73724479973882,233.15530220026122,293.3643309005224,353.57335960078365,0.0
28,2025-07-04,181.539775,173.24260113793105,39.44835114260887,-4.27497900380888,54.89754771010443,114.07007442401775,232.41512785184435,291.58765456575765,350.760181279671,0.0
29,2025-07-05,176.07538200000002,173.33702716666667,38.76569074071653,-1.1085811665577125,57.03995494451709,115.18849105559188,231.48556327774145,289.63409938881625,347.78263549989106,0.0
30,2025-07-06,100.75475500000002,174.37959466666672,36.21269009553467,11.422489236760725,65.74152438006271,120.06055952336472,228.69862980996874,283.0176649532707,337.3367000965727,-1.0
